date,symbol,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2023-01-25,SONACOMS,09:15,434.4,767,333184.8,432.2,448.0,6.18,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",4,5.9592,VPOC,VPOC: breakout above VAH=434.40,09:30,448.0,TARGET_HIT,EXACT_WIN,9921.47,2.98,58.6,STANDARD
2023-01-27,BAJAJ-AUTO,09:15,3682.975,90,331467.75,3665.2375,3753.9249999999997,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",2,5.2969,CAMARILLA,CAMARILLA: breakout above H4=3682.97,09:20,3753.9249999999997,TARGET_HIT,EXACT_WIN,5881.31,1.77,58.9,STANDARD
2023-01-30,ITC,09:30,285.75612244897957,1166,333191.64,285.34183673469386,287.7683673469387,4.86,"CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC,VWAP-STDDEV",2,3.356,VPOC,VPOC: breakout above VAH=285.76,09:35,287.7683673469387,TARGET_HIT,EXACT_WIN,1842.94,0.55,47.3,STANDARD
2023-01-31,RADICO,10:10,1099.5132653061223,303,333152.52,1097.2173469387753,1109.6153061224488,4.4,"ADX-FILTER,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",5,7.5061,VPOC,VPOC: breakout above VAH=1099.51,10:15,1109.6153061224488,TARGET_HIT,EXACT_WIN,2557.07,0.77,49.3,STANDARD
2023-02-01,NTPC,10:15,172.8,1929,333331.2,171.4,175.60000000000002,2.0,"ASC-TRI,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,VWAP-REV",5,3.0061,ORB-30,ORB-30: breakout above 172.80 (range=1.40),12:00,171.4,STOP_HIT,LOSS,-3200.13,-0.96,51.2,STANDARD
2023-02-02,BRITANNIA,09:55,4503.0,74,333222.0,4355.61,4797.780000000001,2.0,"CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,STOCHASTIC,VOL-SPIKE,VPOC",5,4.9592,VOL-SPIKE,"VOL-SPIKE: price at resistance 4444.50, vol 2.1x avg",15:15,4566.0,TIME_EXIT,WIN,4156.79,1.25,59.2,STANDARD
2023-02-03,AAVAS,13:00,1996.65,166,331443.9,1886.5,2216.9500000000003,2.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VOL-SPIKE,VPOC",5,5.8185,VOL-SPIKE,"VOL-SPIKE: price at resistance 1925.00, vol 2.1x avg",15:15,1999.3,TIME_EXIT,LOSS,-59.55,-0.02,58.8,STANDARD
2023-02-06,M&MFIN,09:15,236.28250000000003,1410,333158.33,232.66625000000002,250.74750000000006,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",2,5.1094,CAMARILLA,CAMARILLA: breakout above H4=236.28,15:15,242.75,TIME_EXIT,WIN,8610.52,2.58,58.9,STANDARD
2023-02-07,INDIAMART,10:00,2348.1,141,331082.1,2327.65,2388.9999999999995,2.0,"ADX-FILTER,ASC-TRI,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",5,4.5998,ORB-30,ORB-30: breakout above 2348.10 (range=20.45),15:15,2357.2,TIME_EXIT,WIN,783.48,0.24,49.0,STANDARD
2023-02-08,BRITANNIA,10:05,4626.3,72,333093.6,4578.05,4722.8,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,ORB-30,RSI-EXT,SUPERTREND,VPOC",3,4.4186,ORB-30,ORB-30: breakout above 4626.30 (range=48.25),15:15,4592.55,TIME_EXIT,LOSS,-2929.42,-0.88,49.7,STANDARD
2023-02-09,HCLTECH,11:05,1148.35,290,333021.5,1114.641,1271.1999999999998,3.64,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,SUPERTREND,VPOC",4,5.5938,ASC-TRI,Ascending Triangle: breakout above resistance 1148.22,15:15,1148.0,TIME_EXIT,LOSS,-602.67,-0.18,49.4,STANDARD
2023-02-10,INDIAMART,10:10,2396.9024999999997,139,333169.45,2379.70125,2465.707499999999,4.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",3,5.4748,CAMARILLA,CAMARILLA: breakout above H4=2396.90,15:15,2400.0,TIME_EXIT,LOSS,-71.24,-0.02,48.0,STANDARD
2023-02-13,BRITANNIA,09:45,4621.3,72,332733.6,4600.0,4663.900000000001,2.0,"BOLLINGER,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-30,REL-STR,SR-BREAK",2,2.4748,ORB-30,ORB-30: breakout above 4621.30 (range=21.30),10:25,4600.0,STOP_HIT,LOSS,-2033.24,-0.61,49.0,STANDARD
2023-02-14,APLAPOLLO,12:05,1219.535,273,332933.06,1210.2675,1256.6050000000002,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,SR-BREAK,VPOC",3,2.75,CAMARILLA,CAMARILLA: breakout above H4=1219.54,15:15,1221.8,TIME_EXIT,WIN,116.73,0.04,48.9,STANDARD
2023-02-15,HAVELLS,11:35,1200.0,277,332400.0,1190.0,1220.0,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",5,6.6936,ORB-30,ORB-30: breakout above 1200.00 (range=10.00),15:15,1219.1,TIME_EXIT,WIN,4786.11,1.44,49.5,STANDARD
2023-02-16,MPHASIS,09:15,2088.7799999999997,159,332116.02,2075.69,2141.1399999999994,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",5,6.1935,CAMARILLA,CAMARILLA: breakout above H4=2088.78,10:00,2141.1399999999994,TARGET_HIT,EXACT_WIN,7818.64,2.35,57.8,STANDARD
2023-02-17,LT,10:15,2199.45,151,332116.95,2160.1,2278.1499999999996,2.0,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",4,5.256,ORB-30,ORB-30: breakout above 2199.45 (range=39.35),15:15,2224.55,TIME_EXIT,WIN,3287.08,0.99,48.3,STANDARD
2023-02-20,AAVAS,09:20,1942.0800000000002,171,332095.68,1918.54,2036.2400000000005,4.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-STDDEV",3,3.9435,CAMARILLA,CAMARILLA: breakout above H4=1942.08,12:00,1918.54,STOP_HIT,LOSS,-4522.14,-1.36,48.3,STANDARD
2023-02-21,ULTRACEMCO,09:15,7409.466666666668,44,326016.53,7396.3,7435.800000000004,2.0,"ASC-TRI,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,VWAP-STDDEV",3,2.5686,CPR,"CPR: narrow CPR, breakout above TC=7409.47",09:20,7435.800000000004,TARGET_HIT,EXACT_WIN,666.05,0.2,50.2,STANDARD
2023-02-22,FSL,10:10,115.35,2889,333246.15,113.6,118.85,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,REL-STR,RSI-EXT,SUPERTREND",3,4.3438,ORB-30,ORB-30: breakout above 115.35 (range=1.75),15:15,114.85,TIME_EXIT,LOSS,-1944.91,-0.58,49.2,STANDARD
2023-02-23,ITC,09:15,317.85,1048,333106.8,309.6225,365.975,5.85,"ASC-TRI,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,2.5,ASC-TRI,Ascending Triangle: breakout above resistance 317.56,15:15,319.8,TIME_EXIT,WIN,1540.62,0.46,48.3,STANDARD
2023-02-24,STARHEALTH,10:25,563.0,592,333296.0,558.0,573.0,2.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-30,SR-BREAK,STOCHASTIC,VPOC",2,2.6998,ORB-30,ORB-30: breakout above 563.00 (range=5.00),15:15,564.7,TIME_EXIT,WIN,503.98,0.15,48.1,STANDARD
2023-02-27,RADICO,11:10,1159.75,287,332848.25,1158.722448979592,1174.9836734693877,14.83,"ADX-FILTER,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,EMA-CROSS,MACD,PDH-PDL,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC,VWAP-STDDEV",3,4.1061,VPOC,VPOC: rejection below VPOC=1160.25,13:55,1174.9836734693877,TARGET_HIT,EXACT_WIN,3867.59,1.16,49.0,STANDARD
2023-02-28,INDIAMART,09:20,2401.9375,138,331467.38,2389.21875,2452.8125,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",2,2.7812,CAMARILLA,CAMARILLA: breakout above H4=2401.94,15:15,2425.0,TIME_EXIT,WIN,2680.98,0.81,47.8,STANDARD
2023-03-01,INDIAMART,09:15,2430.29693877551,137,332950.68,2429.7086734693876,2456.180612244898,44.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VOL-SPIKE,VPOC",5,6.131,VPOC,VPOC: breakout above VAH=2430.30,09:20,2456.180612244898,TARGET_HIT,EXACT_WIN,3042.1,0.91,58.7,STANDARD
2023-03-02,COALINDIA,09:25,203.815306122449,1635,333238.03,203.18010204081634,207.88061224489797,6.4,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",2,3.631,VPOC,VPOC: breakout above VAH=203.82,09:40,207.88061224489797,TARGET_HIT,EXACT_WIN,6139.97,1.84,47.7,STANDARD
2023-03-03,POWERGRID,09:15,163.99499999999998,2032,333237.84,162.92249999999999,168.28499999999994,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC",2,2.006,CAMARILLA,CAMARILLA: breakout above H4=163.99,15:10,162.92249999999999,STOP_HIT,LOSS,-2679.14,-0.8,48.4,STANDARD
2023-03-06,COROMANDEL,09:15,908.6102040816327,366,332551.33,907.5678571428571,917.180612244898,8.22,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",5,6.256,VPOC,VPOC: breakout above VAH=908.61,09:20,917.180612244898,TARGET_HIT,EXACT_WIN,2633.68,0.79,57.5,STANDARD
2023-03-08,BOSCHLTD,13:25,18726.05,17,318342.85,18154.5,19869.149999999998,2.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VOL-SPIKE,VPOC",4,6.256,VOL-SPIKE,"VOL-SPIKE: price at resistance 18525.00, vol 2.0x avg",15:15,18718.0,TIME_EXIT,LOSS,-617.98,-0.19,57.2,STANDARD
2023-03-09,LINDEINDIA,09:20,4000.79,83,332065.57,3949.695,4205.17,4.0,"ADX-FILTER,BULL-FLAG,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,PDH-PDL,REL-STR,STOCHASTIC,VOL-SPIKE,VPOC",3,5.6054,CAMARILLA,CAMARILLA: breakout above H4=4000.79,15:15,4028.35,TIME_EXIT,WIN,1785.72,0.54,58.4,STANDARD
2023-03-10,ITC,10:25,320.7,1039,333207.3,305.9595,369.4,3.3,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,SR-BREAK,SUPERTREND,VPOC",3,4.25,ASC-TRI,Ascending Triangle: breakout above resistance 320.45,15:15,320.05,TIME_EXIT,LOSS,-1176.32,-0.35,48.0,STANDARD
2023-03-13,KAYNES,10:10,975.6,341,332679.6,961.55,1003.7000000000002,2.0,"DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VPOC",3,1.881,ORB-30,ORB-30: breakout above 975.60 (range=14.05),15:15,965.0,TIME_EXIT,LOSS,-4112.52,-1.24,48.8,STANDARD
2023-03-14,KAYNES,09:15,962.45125,346,333008.13,954.9024999999999,977.54875,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,MACD,RSI-EXT,VWAP-REV,VWAP-STDDEV",4,2.1311,CAMARILLA,"CAMARILLA: reversal at L3=962.45, target H3=977.55",10:20,954.9024999999999,STOP_HIT,LOSS,-3111.03,-0.93,51.7,STANDARD
2023-03-15,IEX,09:15,145.61020408163265,2289,333301.76,145.32448979591834,148.5489795918367,10.29,"BULL-FLAG,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,GAP-CONT,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",6,7.7209,VPOC,VPOC: breakout above VAH=145.61,09:20,148.5489795918367,TARGET_HIT,EXACT_WIN,6219.9,1.87,56.9,STANDARD
2023-03-16,INDHOTEL,13:55,316.0,1054,333064.0,313.0,322.0,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FALL-WEDGE,MACD,ORB-30,REL-STR,SR-BREAK,SUPERTREND,VWAP-STDDEV",2,3.725,ORB-30,ORB-30: breakout above 316.00 (range=3.00),15:15,320.6,TIME_EXIT,WIN,4343.26,1.3,47.2,STANDARD
2023-03-17,DLF,09:15,361.1102040816326,923,333304.72,360.26071428571424,376.74081632653053,18.4,"ADX-FILTER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",4,5.881,VPOC,VPOC: breakout above VAH=361.11,09:30,376.74081632653053,TARGET_HIT,EXACT_WIN,13914.0,4.17,58.1,STANDARD
2023-03-20,PIDILITIND,13:10,1173.8,283,332185.4,1162.5,1196.3999999999999,2.0,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,SUPERTREND,VPOC",4,5.131,ORB-30,ORB-30: breakout above 1173.80 (range=11.30),15:15,1185.0,TIME_EXIT,WIN,2666.98,0.8,48.7,STANDARD
2023-03-21,NAVINFLUOR,09:15,4258.2675,78,332144.86,4234.65875,4352.702499999999,4.0,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC,VWAP-REV,VWAP-STDDEV",5,6.6935,CAMARILLA,CAMARILLA: breakout above H4=4258.27,09:30,4352.702499999999,TARGET_HIT,EXACT_WIN,6860.05,2.07,57.4,STANDARD
2023-03-22,MCX,09:15,302.2,1103,333326.6,301.1,306.59999999999997,4.0,"ASC-TRI,BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,VPOC",4,2.8554,CAMARILLA,CAMARILLA: breakout above H4=302.20,10:20,306.59999999999997,TARGET_HIT,EXACT_WIN,4347.69,1.3,49.1,STANDARD
2023-03-23,GODREJCP,10:55,949.95,350,332482.5,943.35,963.1500000000001,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-30,PDH-PDL,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",2,4.3498,ORB-30,ORB-30: breakout above 949.95 (range=6.60),15:15,950.95,TIME_EXIT,LOSS,-150.79,-0.05,47.8,STANDARD
2023-03-24,PIDILITIND,09:35,1182.9,281,332394.9,1181.2816326530613,1187.2979591836736,2.72,"ASC-TRI,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,SR-BREAK,SUPERTREND,VPOC",2,3.9748,VPOC,VPOC: rejection below VPOC=1184.97,09:45,1187.2979591836736,TARGET_HIT,EXACT_WIN,734.45,0.22,48.4,STANDARD
2023-03-27,MGL,09:15,951.2087499999999,350,332923.06,945.1175,963.39125,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,RSI-EXT,VWAP-STDDEV",2,3.3438,CAMARILLA,"CAMARILLA: reversal at L3=951.21, target H3=963.39",09:30,963.39125,TARGET_HIT,EXACT_WIN,3759.39,1.13,49.8,STANDARD
2023-03-28,DABUR,09:15,541.0250000000001,616,333271.4,540.075,542.9250000000002,2.0,"ADX-FILTER,ASC-TRI,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,MACD,VPOC,VWAP-STDDEV",3,2.9748,CPR,"CPR: narrow CPR, breakout above TC=541.03",09:20,540.075,STOP_HIT,LOSS,-1086.33,-0.33,49.5,STANDARD
2023-03-29,SIEMENS,13:55,2540.55,131,332812.05,2454.903,2730.4249999999997,2.22,"ASC-TRI,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,VPOC",4,2.9748,ASC-TRI,Ascending Triangle: breakout above resistance 2538.41,15:15,2528.35,TIME_EXIT,LOSS,-2097.9,-0.63,49.8,STANDARD
2023-03-31,ABB,11:30,3413.9,97,331148.3,3391.9,3501.9,4.0,"ASC-TRI,CAMARILLA,DAILY-BIAS,MACD,ORB-15,ORB-30,PDH-PDL,SR-BREAK,VPOC,VWAP-STDDEV",3,3.5,CAMARILLA,CAMARILLA: breakout above H4=3413.90,11:45,3391.9,STOP_HIT,LOSS,-2631.0,-0.79,48.6,STANDARD
